week_index,date,t_week,total_Hi,weekly_incidence_proxy,beta_t
1,2015-12-27,1,102.78555211791381,125.3363723141442,7.48346773089089
2,2016-01-03,2,282.4966096591828,384.0002249966661,8.088334960401713
3,2016-01-10,3,564.8828940359588,729.7898476495736,8.663196479422767
4,2016-01-17,4,870.1759679167005,1054.6602249559164,9.195609254417288
5,2016-01-24,5,1144.5082313737644,1317.2250053881814,9.67359820433928
6,2016-01-31,6,1371.8906029979178,1522.993465283802,10.086120073390243
7,2016-02-07,7,1553.4928899057434,1682.8637499682957,10.42350379665228
8,2016-02-14,8,1695.1090159407624,1805.2193617463408,10.677842135111105
9,2016-02-21,9,1802.4499499490269,1895.7590495116947,10.843311786051691
10,2016-02-28,10,1879.9664169764537,1958.296114561252,10.91640334354074
11,2016-03-06,11,1930.8961881296837,1995.4627691183173,10.89604807316058
12,2016-03-13,12,1957.6244639487845,2009.2311815214832,10.783635022384601
13,2016-03-20,13,1962.0521637309348,2001.2843577037627,10.582918971021137
14,2016-03-27,14,1945.8835952463864,1973.2621393452882,10.299826559170839
15,2016-04-03,15,1910.8198261904795,1926.906008376039,9.94217406171825
16,2016-04-10,16,1858.6693499755258,1864.1266586543018,9.519315235887426
17,2016-04-17,17,1791.394167995043,1787.0157239140149,9.04174110220681
18,2016-04-24,18,1711.1089837832737,1697.8192881309162,8.520655231879273
19,2016-05-01,19,1620.0486504532873,1598.8872219103064,7.967548071109844
20,2016-05-08,20,1520.5161869100884,1492.6094085793393,7.393792158273538
21,2016-05-15,21,1414.821148363269,1381.347506485041,6.810277039615698
22,2016-05-22,22,1305.2159782397332,1267.3688762253048,6.227098618665451
23,2016-05-29,23,1193.8361238294576,1152.787576204244,5.653312994698233
24,2016-06-05,24,1082.6480819364554,1039.5157926291965,5.096759978658281
25,2016-06-12,25,973.408109269142,929.2277017843179,4.563956813317807
26,2016-06-19,26,867.6330679854875,823.3365585822489,4.060058497098381
27,2016-06-26,27,766.5837834480915,722.984780614998,3.588877760532171
28,2016-07-03,28,671.2603806530248,629.0459669480105,3.1529553158001113
29,2016-07-10,29,582.4083486414103,542.13716543338,2.753669540728888
30,2016-07-17,30,500.53356250720594,462.6392814151276,2.3913742291951943
31,2016-07-24,31,425.9241656669128,390.7232945415508,2.065553329995646
32,2016-07-31,32,358.6770680551824,326.37990154089226,1.7749825470560898
33,2016-08-07,33,298.7268304630428,269.4503099276359,1.51788910044594
34,2016-08-14,34,245.87486101614894,219.6561498204154,1.2921026602463577
35,2016-08-21,35,199.81712921186158,176.6268331637991,1.0951922870529596
36,2016-08-28,36,160.1689941544809,139.92316328121998,0.9245859929955114
37,2016-09-04,37,126.48623999409048,109.05657738657973,0.7776711588974767
38,2016-09-11,38,98.28200303011562,83.50407290698033,0.651875426953352
39,2016-09-18,39,75.03993392091633,62.71957922978672,0.5447287904146851
40,2016-09-25,40,56.22458863413401,46.14317688133738,0.45390841026013085
41,2016-10-02,41,41.29055004610231,33.20996906369593,0.3772682170667199
42,2016-10-09,42,29.691957051037797,23.360361511542372,0.31285563587328596
43,2016-10-16,43,20.893765999779976,16.052826741293565,0.258917845369123
44,2016-10-23,44,14.385121758218231,10.778931764578022,0.21389989758681527
45,2016-10-30,45,9.693881119728214,7.078859088367989,0.17643682730604052
46,2016-11-06,46,6.400132459227239,4.554543554433183,0.14534161425482173
47,2016-11-13,47,4.146113736454641,2.877556741284721,0.11959056203435296
48,2016-11-20,48,2.6405640881897976,1.7901429499908716,0.0983073539301413
49,2016-11-27,49,1.6569912924902956,1.0997525040772327,0.08074675806259547
50,2016-12-04,50,1.0268929205328385,0.6690585932903254,0.06627869616350533
